,precision,recall,f1-score,support
Adaptation and Self-Organizing Systems,0.13333333333333333,0.25,0.17391304347826086,8.0
Applications,0.07142857142857142,0.07142857142857142,0.07142857142857142,14.0
Artificial Intelligence,0.5918367346938775,0.5225225225225225,0.5550239234449761,111.0
Combinatorics,0.7272727272727273,0.5333333333333333,0.6153846153846154,60.0
Computation and Language,0.7931034482758621,0.9019607843137255,0.8440366972477065,51.0
Computational Complexity,0.19428571428571428,0.7727272727272727,0.3105022831050228,44.0
"Computational Engineering, Finance, and Science",0.15492957746478872,0.4583333333333333,0.23157894736842105,24.0
Computational Geometry,0.5925925925925926,0.7272727272727273,0.6530612244897959,22.0
Computational Linguistics,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Computer Science and Game Theory,0.7096774193548387,0.7586206896551724,0.7333333333333333,29.0
Computer Vision and Pattern Recognition,0.7906976744186046,0.7906976744186046,0.7906976744186046,43.0
Computers and Society,0.5714285714285714,0.5128205128205128,0.5405405405405406,39.0
Cryptography and Security,0.7407407407407407,0.8163265306122449,0.7766990291262136,49.0
"Data Analysis, Statistics and Probability",0.023809523809523808,0.1111111111111111,0.0392156862745098,9.0
Data Structures and Algorithms,0.6075949367088608,0.6153846153846154,0.6114649681528662,78.0
Databases,0.6923076923076923,0.375,0.4864864864864865,24.0
Digital Libraries,0.8571428571428571,0.46153846153846156,0.6,13.0
Discrete Mathematics,0.5657894736842105,0.6323529411764706,0.5972222222222222,68.0
Disordered Systems and Neural Networks,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
"Distributed, Parallel, and Cluster Computing",0.54,0.675,0.6,40.0
Formal Languages and Automata Theory,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
Human-Computer Interaction,0.6,0.5625,0.5806451612903226,16.0
Information Retrieval,0.6046511627906976,0.65,0.6265060240963856,40.0
Information Theory (Computer Science),0.9235668789808917,0.8605341246290801,0.890937019969278,337.0
Information Theory (Mathematics),0.95,0.05637982195845697,0.10644257703081232,337.0
Logic,0.75,0.3333333333333333,0.46153846153846156,9.0
Logic in Computer Science,0.7391304347826086,0.796875,0.7669172932330827,64.0
Machine Learning (Computer Science),0.7012987012987013,0.7397260273972602,0.72,146.0
Machine Learning (Statistics),0.5666666666666667,0.18085106382978725,0.27419354838709675,94.0
Mathematical Software,0.5,0.42857142857142855,0.46153846153846156,7.0
Methodology,0.0,0.0,0.0,3.0
Multiagent Systems,0.4,0.2857142857142857,0.3333333333333333,14.0
Multimedia,0.625,0.3333333333333333,0.43478260869565216,15.0
Networking and Internet Architecture,0.45569620253164556,0.6666666666666666,0.5413533834586466,54.0
Neural and Evolutionary Computing,0.6551724137931034,0.6129032258064516,0.6333333333333333,31.0
Neurons and Cognition,0.8333333333333334,0.625,0.7142857142857143,8.0
Number Theory,0.42857142857142855,0.75,0.5454545454545454,4.0
Numerical Analysis (Computer Science),0.4666666666666667,0.35,0.4,20.0
Numerical Analysis (Mathematics),0.6923076923076923,0.45,0.5454545454545454,20.0
Optimization and Control,0.5,0.6792452830188679,0.576,53.0
Performance,0.36363636363636365,0.26666666666666666,0.3076923076923077,15.0
Physics and Society,0.9024390243902439,0.6065573770491803,0.7254901960784313,61.0
Probability,0.24242424242424243,0.4,0.3018867924528302,20.0
Programming Languages,0.8333333333333334,0.7407407407407407,0.7843137254901961,27.0
Quantitative Methods,1.0,0.16666666666666666,0.2857142857142857,6.0
Quantum Physics,0.7894736842105263,0.8333333333333334,0.8108108108108109,36.0
Robotics,0.7142857142857143,0.3125,0.43478260869565216,16.0
Social and Information Networks,0.8524590163934426,0.7323943661971831,0.7878787878787878,71.0
Software Engineering,0.6470588235294118,0.55,0.5945945945945946,20.0
Statistical Mechanics,0.6,0.21428571428571427,0.3157894736842105,14.0
Statistics Theory (Mathematics),0.35714285714285715,0.25,0.29411764705882354,20.0
Statistics Theory (Statistics),0.0,0.0,0.0,20.0
Symbolic Computation,0.8,0.36363636363636365,0.5,11.0
Systems and Control (Computer Science),0.8125,0.5909090909090909,0.6842105263157895,44.0
micro avg,0.6162037037037037,0.5497728211482859,0.5810958306046715,2421.0
macro avg,0.5845647339207842,0.49893373448257844,0.5063924109013279,2421.0
weighted avg,0.7096426393170132,0.5497728211482859,0.5589766314328146,2421.0
samples avg,0.6255,0.5713357142857142,0.5885785714285714,2421.0
