,precision,recall,f1-score,support
Adaptation and Self-Organizing Systems,0.15789473684210525,0.375,0.2222222222222222,8.0
Applications,0.125,0.07142857142857142,0.09090909090909091,14.0
Artificial Intelligence,0.6593406593406593,0.5405405405405406,0.594059405940594,111.0
Combinatorics,0.6290322580645161,0.65,0.639344262295082,60.0
Computation and Language,0.82,0.803921568627451,0.8118811881188119,51.0
Computational Complexity,0.4745762711864407,0.6363636363636364,0.5436893203883495,44.0
"Computational Engineering, Finance, and Science",0.3333333333333333,0.375,0.35294117647058826,24.0
Computational Geometry,0.5909090909090909,0.5909090909090909,0.5909090909090909,22.0
Computational Linguistics,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Computer Science and Game Theory,0.8,0.6896551724137931,0.7407407407407407,29.0
Computer Vision and Pattern Recognition,0.875,0.813953488372093,0.8433734939759037,43.0
Computers and Society,0.5757575757575758,0.48717948717948717,0.5277777777777778,39.0
Cryptography and Security,0.875,0.8571428571428571,0.865979381443299,49.0
"Data Analysis, Statistics and Probability",0.08,0.2222222222222222,0.11764705882352941,9.0
Data Structures and Algorithms,0.5222222222222223,0.6025641025641025,0.5595238095238095,78.0
Databases,0.6470588235294118,0.4583333333333333,0.5365853658536586,24.0
Digital Libraries,0.875,0.5384615384615384,0.6666666666666666,13.0
Discrete Mathematics,0.6976744186046512,0.4411764705882353,0.5405405405405406,68.0
Disordered Systems and Neural Networks,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
"Distributed, Parallel, and Cluster Computing",0.6285714285714286,0.55,0.5866666666666667,40.0
Formal Languages and Automata Theory,0.75,0.5,0.6,18.0
Human-Computer Interaction,0.7272727272727273,0.5,0.5925925925925926,16.0
Information Retrieval,0.71875,0.575,0.6388888888888888,40.0
Information Theory (Computer Science),0.916923076923077,0.884272997032641,0.9003021148036254,337.0
Information Theory (Mathematics),0.9755102040816327,0.7091988130563798,0.8213058419243986,337.0
Logic,0.8,0.4444444444444444,0.5714285714285714,9.0
Logic in Computer Science,0.8461538461538461,0.6875,0.7586206896551724,64.0
Machine Learning (Computer Science),0.6519337016574586,0.8082191780821918,0.7217125382262997,146.0
Machine Learning (Statistics),0.7,0.22340425531914893,0.3387096774193548,94.0
Mathematical Software,0.3333333333333333,0.14285714285714285,0.2,7.0
Methodology,0.0,0.0,0.0,3.0
Multiagent Systems,0.4,0.2857142857142857,0.3333333333333333,14.0
Multimedia,0.8571428571428571,0.4,0.5454545454545454,15.0
Networking and Internet Architecture,0.6666666666666666,0.5555555555555556,0.6060606060606061,54.0
Neural and Evolutionary Computing,0.6538461538461539,0.5483870967741935,0.5964912280701754,31.0
Neurons and Cognition,0.625,0.625,0.625,8.0
Number Theory,0.6,0.75,0.6666666666666666,4.0
Numerical Analysis (Computer Science),0.55,0.55,0.55,20.0
Numerical Analysis (Mathematics),0.6,0.3,0.4,20.0
Optimization and Control,0.5,0.6981132075471698,0.5826771653543307,53.0
Performance,0.5384615384615384,0.4666666666666667,0.5,15.0
Physics and Society,0.90625,0.47540983606557374,0.6236559139784946,61.0
Probability,0.5,0.4,0.4444444444444444,20.0
Programming Languages,0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0
Quantitative Methods,1.0,0.3333333333333333,0.5,6.0
Quantum Physics,0.9375,0.8333333333333334,0.8823529411764706,36.0
Robotics,0.6666666666666666,0.375,0.48,16.0
Social and Information Networks,0.8333333333333334,0.6338028169014085,0.72,71.0
Software Engineering,0.5714285714285714,0.6,0.5853658536585366,20.0
Statistical Mechanics,0.3333333333333333,0.21428571428571427,0.2608695652173913,14.0
Statistics Theory (Mathematics),0.2857142857142857,0.2,0.23529411764705882,20.0
Statistics Theory (Statistics),0.0,0.0,0.0,20.0
Symbolic Computation,0.6,0.2727272727272727,0.375,11.0
Systems and Control (Computer Science),0.75,0.4772727272727273,0.5833333333333334,44.0
micro avg,0.7242366412213741,0.6270136307311028,0.6721275182643347,2421.0
macro avg,0.6099219381993336,0.49703735969968155,0.5328273735105804,2421.0
weighted avg,0.7401597602539889,0.6270136307311028,0.6665967221645939,2421.0
samples avg,0.72675,0.6591619047619048,0.6824547619047618,2421.0
