,precision,recall,f1-score,support
Adaptation and Self-Organizing Systems,0.6666666666666666,0.25,0.36363636363636365,8.0
Applications,0.0,0.0,0.0,14.0
Artificial Intelligence,0.48672566371681414,0.4954954954954955,0.49107142857142855,111.0
Combinatorics,0.5588235294117647,0.6333333333333333,0.59375,60.0
Computation and Language,0.8775510204081632,0.8431372549019608,0.86,51.0
Computational Complexity,0.55,0.75,0.6346153846153846,44.0
"Computational Engineering, Finance, and Science",0.4166666666666667,0.20833333333333334,0.2777777777777778,24.0
Computational Geometry,0.5789473684210527,0.5,0.5365853658536586,22.0
Computational Linguistics,0.8,0.8,0.8,15.0
Computer Science and Game Theory,0.6756756756756757,0.8620689655172413,0.7575757575757576,29.0
Computer Vision and Pattern Recognition,0.66,0.7674418604651163,0.7096774193548387,43.0
Computers and Society,0.4583333333333333,0.5641025641025641,0.5057471264367817,39.0
Cryptography and Security,0.7608695652173914,0.7142857142857143,0.7368421052631579,49.0
"Data Analysis, Statistics and Probability",0.14285714285714285,0.1111111111111111,0.125,9.0
Data Structures and Algorithms,0.5697674418604651,0.6282051282051282,0.5975609756097561,78.0
Databases,0.65,0.5416666666666666,0.5909090909090909,24.0
Digital Libraries,0.6923076923076923,0.6923076923076923,0.6923076923076923,13.0
Discrete Mathematics,0.5056179775280899,0.6617647058823529,0.5732484076433121,68.0
Disordered Systems and Neural Networks,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
"Distributed, Parallel, and Cluster Computing",0.574468085106383,0.675,0.6206896551724138,40.0
Formal Languages and Automata Theory,0.7333333333333333,0.6111111111111112,0.6666666666666666,18.0
Human-Computer Interaction,0.5238095238095238,0.6875,0.5945945945945946,16.0
Information Retrieval,0.6666666666666666,0.65,0.6582278481012658,40.0
Information Theory (Computer Science),0.9123867069486404,0.8961424332344213,0.9041916167664671,337.0
Information Theory (Mathematics),0.9123867069486404,0.8961424332344213,0.9041916167664671,337.0
Logic,0.3076923076923077,0.4444444444444444,0.36363636363636365,9.0
Logic in Computer Science,0.7611940298507462,0.796875,0.7786259541984732,64.0
Machine Learning (Computer Science),0.7278481012658228,0.7876712328767124,0.756578947368421,146.0
Machine Learning (Statistics),0.5478260869565217,0.6702127659574468,0.6028708133971292,94.0
Mathematical Software,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
Methodology,0.0,0.0,0.0,3.0
Multiagent Systems,0.35714285714285715,0.35714285714285715,0.35714285714285715,14.0
Multimedia,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
Networking and Internet Architecture,0.5,0.6111111111111112,0.55,54.0
Neural and Evolutionary Computing,0.6666666666666666,0.5806451612903226,0.6206896551724138,31.0
Neurons and Cognition,0.6666666666666666,0.5,0.5714285714285714,8.0
Number Theory,0.6,0.75,0.6666666666666666,4.0
Numerical Analysis (Computer Science),0.5217391304347826,0.6,0.5581395348837209,20.0
Numerical Analysis (Mathematics),0.44,0.55,0.4888888888888889,20.0
Optimization and Control,0.4714285714285714,0.6226415094339622,0.5365853658536586,53.0
Performance,0.46153846153846156,0.4,0.42857142857142855,15.0
Physics and Society,0.7464788732394366,0.8688524590163934,0.803030303030303,61.0
Probability,0.2857142857142857,0.2,0.23529411764705882,20.0
Programming Languages,0.7272727272727273,0.8888888888888888,0.8,27.0
Quantitative Methods,0.5,0.16666666666666666,0.25,6.0
Quantum Physics,0.9375,0.8333333333333334,0.8823529411764706,36.0
Robotics,0.5333333333333333,0.5,0.5161290322580645,16.0
Social and Information Networks,0.7564102564102564,0.8309859154929577,0.7919463087248322,71.0
Software Engineering,0.4782608695652174,0.55,0.5116279069767442,20.0
Statistical Mechanics,0.1111111111111111,0.07142857142857142,0.08695652173913043,14.0
Statistics Theory (Mathematics),0.5294117647058824,0.45,0.4864864864864865,20.0
Statistics Theory (Statistics),0.5294117647058824,0.45,0.4864864864864865,20.0
Symbolic Computation,1.0,0.36363636363636365,0.5333333333333333,11.0
Systems and Control (Computer Science),0.6585365853658537,0.6136363636363636,0.6352941176470588,44.0
micro avg,0.6868767451136817,0.711276332094176,0.6988636363636364,2421.0
macro avg,0.5727527212880228,0.5599445368004926,0.5554443666056249,2421.0
weighted avg,0.690657310538696,0.711276332094176,0.6966031129667516,2421.0
samples avg,0.704852380952381,0.7340452380952381,0.6955953102453102,2421.0
