,precision,recall,f1-score,support
Agricultural Land,0.8125,0.41935483870967744,0.5531914893617021,31.0
Community and Economic Benefits,0.72,0.6206896551724138,0.6666666666666666,29.0
"Consultation, Transparency and Information",0.8275862068965517,0.5333333333333333,0.6486486486486487,45.0
Cumulative Impact,0.8846153846153846,0.48936170212765956,0.6301369863013698,47.0
Decommissioning and Site Restoration,1.0,0.42105263157894735,0.5925925925925926,19.0
Emergency Planning and Response,0.84375,0.5294117647058824,0.6506024096385542,51.0
Fire and Explosion Risk,0.9021739130434783,0.9120879120879121,0.907103825136612,91.0
Grid Connection and Electrical Infrastructure,0.8,0.23529411764705882,0.36363636363636365,17.0
Health and Wellbeing,0.78,0.6190476190476191,0.6902654867256637,63.0
"Landscape, Visual and Heritage Impact",0.8860759493670886,0.7692307692307693,0.8235294117647058,91.0
Light Pollution,0.9166666666666666,0.4074074074074074,0.5641025641025641,27.0
Noise,0.9791666666666666,0.7121212121212122,0.8245614035087719,66.0
Planning Policy and Regulatory Compliance,0.7551020408163265,0.8222222222222222,0.7872340425531915,45.0
Project Need,0.7916666666666666,0.59375,0.6785714285714286,32.0
Property Value,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Residential Proximity and Separation Distance,0.6333333333333333,0.6229508196721312,0.628099173553719,61.0
Site Selection,0.7796610169491526,0.5476190476190477,0.6433566433566433,84.0
Traffic,0.9811320754716981,0.6933333333333334,0.8125,75.0
Water and Soil Contamination,0.9696969696969697,0.6666666666666666,0.7901234567901234,48.0
Wildlife and Ecology,0.9019607843137255,0.6666666666666666,0.7666666666666667,69.0
micro avg,0.8490813648293963,0.643141153081511,0.7319004524886877,1006.0
macro avg,0.853708929179731,0.5974134193008312,0.6895410014403379,1006.0
weighted avg,0.8560661945860857,0.643141153081511,0.7249836801072864,1006.0
samples avg,0.8152666124724948,0.7092086503461936,0.7269914527134247,1006.0
