,precision,recall,f1-score,support
Agricultural Land,0.8947368421052632,0.5483870967741935,0.68,31.0
Community and Economic Benefits,0.7,0.4827586206896552,0.5714285714285714,29.0
"Consultation, Transparency and Information",0.875,0.6222222222222222,0.7272727272727273,45.0
Cumulative Impact,0.8571428571428571,0.3829787234042553,0.5294117647058824,47.0
Decommissioning and Site Restoration,1.0,0.5263157894736842,0.6896551724137931,19.0
Emergency Planning and Response,0.9444444444444444,0.3333333333333333,0.4927536231884058,51.0
Fire and Explosion Risk,0.9540229885057471,0.9120879120879121,0.9325842696629213,91.0
Grid Connection and Electrical Infrastructure,1.0,0.11764705882352941,0.21052631578947367,17.0
Health and Wellbeing,0.8333333333333334,0.6349206349206349,0.7207207207207207,63.0
"Landscape, Visual and Heritage Impact",0.8902439024390244,0.8021978021978022,0.8439306358381503,91.0
Light Pollution,1.0,0.07407407407407407,0.13793103448275862,27.0
Noise,0.9,0.8181818181818182,0.8571428571428571,66.0
Planning Policy and Regulatory Compliance,0.7647058823529411,0.5777777777777777,0.6582278481012658,45.0
Project Need,0.8888888888888888,0.5,0.64,32.0
Property Value,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0
Residential Proximity and Separation Distance,0.7317073170731707,0.4918032786885246,0.5882352941176471,61.0
Site Selection,0.8409090909090909,0.44047619047619047,0.578125,84.0
Traffic,1.0,0.56,0.717948717948718,75.0
Water and Soil Contamination,0.8857142857142857,0.6458333333333334,0.7469879518072289,48.0
Wildlife and Ecology,0.95,0.5507246376811594,0.6972477064220184,69.0
micro avg,0.8789237668161435,0.584493041749503,0.702089552238806,1006.0
macro avg,0.881256777359738,0.5344193485403383,0.6354892691728466,1006.0
weighted avg,0.8851866806067034,0.584493041749503,0.6830410675379682,1006.0
samples avg,0.8517014684661743,0.6658039701551812,0.7124052752779682,1006.0
