,precision,recall,f1-score,support
Agricultural Land,0.6666666666666666,0.6451612903225806,0.6557377049180327,31.0
Community and Economic Benefits,0.8571428571428571,0.8275862068965517,0.8421052631578947,29.0
"Consultation, Transparency and Information",0.7333333333333333,0.7333333333333333,0.7333333333333333,45.0
Cumulative Impact,0.7142857142857143,0.851063829787234,0.7766990291262136,47.0
Decommissioning and Site Restoration,0.6153846153846154,0.8421052631578947,0.7111111111111111,19.0
Emergency Planning and Response,0.8214285714285714,0.9019607843137255,0.8598130841121495,51.0
Fire and Explosion Risk,0.9634146341463414,0.8681318681318682,0.9132947976878613,91.0
Grid Connection and Electrical Infrastructure,0.5555555555555556,0.5882352941176471,0.5714285714285714,17.0
Health and Wellbeing,0.7903225806451613,0.7777777777777778,0.784,63.0
"Landscape, Visual and Heritage Impact",0.8735632183908046,0.8351648351648352,0.8539325842696629,91.0
Light Pollution,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0
Noise,0.9523809523809523,0.9090909090909091,0.9302325581395349,66.0
Planning Policy and Regulatory Compliance,0.8260869565217391,0.8444444444444444,0.8351648351648352,45.0
Project Need,0.6764705882352942,0.71875,0.696969696969697,32.0
Property Value,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Residential Proximity and Separation Distance,0.6986301369863014,0.8360655737704918,0.7611940298507462,61.0
Site Selection,0.7976190476190477,0.7976190476190477,0.7976190476190477,84.0
Traffic,0.9428571428571428,0.88,0.9103448275862069,75.0
Water and Soil Contamination,0.8541666666666666,0.8541666666666666,0.8541666666666666,48.0
Wildlife and Ecology,0.7763157894736842,0.855072463768116,0.8137931034482758,69.0
micro avg,0.8070175438596491,0.8230616302186878,0.8149606299212598,1006.0
macro avg,0.7795186251233962,0.794212405344082,0.782547012229492,1006.0
weighted avg,0.8142541066496083,0.8230616302186878,0.816233151567267,1006.0
samples avg,0.7480302228781558,0.7440792704027998,0.7218121833689194,1006.0
